id,listing_id_overlap,comments,review_scores_rating
0,6,"Pam and Mark are  WONDERFUL. They are so accommodating and welcoming! Their home is beautiful, and the location cannot be any better. We wish we could have stayed longer for a hot breakfast with them, but unfortunately we had to make it a really quick trip. We can't wait to come back.",93
1,109,Ken was a great host. He went beyond our expectations to make our stay comfortable and fun. The suite was clean and lovely.,80
2,344,"Convenient location for central Austin, really clean and great facility.  As mentioned by others wifi was not brilliant and views were into the courtyard which was a bit gloomy.  However Stacey was very helpful and the apartment is definitely a great base for Austin, with lots of space for everyone to relax.",80
3,686,"Great stay, we loved the front porch in the early morning. Simple clean lines like a Zen retreat. 
",95
4,930,This place is one of the best AirBnB's I've stayed in. This was my second stay here. It was as good as the first stay. I look forward to the third stay. ,98
5,941,Great cozy loft. I would stay there again happily. ,100
6,1078,The property is exactly what I expected. We had 5 people and all 5 had a place to sleep.  The place was comfortable and homelike. Perfect for a weekend away in austin.,97
7,1940,Susan accepted my request quickly after my other cancelled on me. She was quick to respond to me and her place was so nice! We had a lovely time- very comfy beds!! Would definitely recommend! ,98
8,2100,Houston has a great place. Two nice cats and a great desk for doing work. I work from home during the day so having a desk was great! ,100
9,2265,"The beds were so comfy and it was nice in there. Obviously not a 5-star hotel but wow, great place with a lot of useful stuff. Good location too but at first it didn't seem like it until you get your bearings. 

There's a book in the living room for a hide that helped me know where to go also! Great addition!",90
10,2515,Lovely people & great accommodations. Pleasantly surprised with my first Airbnb experience. Will definitely come back. ,92
11,2732,"The lovely, flexible and super friendly Amber made our stay perfect. The texas heat was hard on the head but the AC in suite spot made it easier to cope with. We received great tips from our host about places to eat, drink, swim and walk. We as guests felt extremely welcome and whenever we needed something we could ask without feeling intrusive. Really REALLY nice hosts! The room was clean and fully equipped and we couldn't wish for anything else. Thank you Amber!",96
12,3021,"This Austin Suite Spot is just as it sounds...extremely sweet!!!  The room is spacious, very clean, with a large closet, and an amazing bathroom!  The rainshower shower head is simply soothing and refreshing, and the large tub is perfect for a relaxing bubble bath!  The great room aside, the hosts are wonderful people who are helpful in any way possible.  I will definitely be looking to stay here again next time I am in Austin!",84
13,3152,"Amina was a great host, and we thoroughly enjoyed our stay.  For the most part, everything was exactly as described--excellent!

There were two things that surprised us that might be helpful to know.  First, the rental is fully attached to the home.  There is not a deadlocked door between the rental and rest of the home the way you might expect on a home apartment, just ordinary interior doors with push locks.  You also have to enter the main home (barely) in order to change the A/C.  This wasn't a deal breaker for us at all, but it did surprise us.  

Also, Amina was burning incense as we left each morning which filtered into our rental quite a bit.  This wasn't an issue because we were leaving each time, but with my husband's severe asthma, we may have had to ask her to not burn the incense if we were going to be in the house more.  I am sure she would have worked with us if it had been an issue.  So, if you have any respiratory issues like that, you may want to let her know ahead of time!

Again, these were two things that others might find helpful to know, but didn't take away from our experience.  Thank you Amina!",93
14,3330,Bryan was an excellent friendly host. Couldn't have asked for a better experience. Located in a very quaint neighborhood. ,97
15,3781,"My husband and I loved our stay here! They are stream is clean, and we love the outdoor shower! Location was perfect for us, we would definitely stay here again.",98
16,4291,"Gigi's guesthouse was lovely and we were very comfortable.
The neighborhood was quite nice too.
I would certainly stay here again. ",92
17,4989,"Jennifer is talented. I love the Chinese element of art in the room. Dragon, phoenix,even the character  囍. That's the especial character used for wedding.;)) All in all, pretty good experience. Thanks for hosting us.",88
